id,geo_point_2d,secteur,commune,antenne_mairie,adresse,perimetre_pave,type_dechet_code,type_dechet,type_conteneur_code,type_conteneur,volume_m3,marque,modele,modele_info_sup,type_avaloir,type_collecteur,nom_collecteur,etat,etat_info_sup,date_info_etat,date_instal_conteneur_sup,type_installation,date_renouvellement_materiel,x_longitude,y_latitude
207,"45.2487,5.6642",Nord-Ouest,Fontanil Cornillon,,Rue Chancelière / Rue Babière,,VER,verre,CE,enterré,4.0,Citec,,,,Prestataire,Lely,Bon,Citec__4_E_,,,,,5.664199,45.248698
1161,"45.01033,5.69769",Grand-Sud,Notre Dame de Commiers,,Cimetière / 1-3 Chemin de la Cluse (nouveau cimetière situé 100m en contrebas de l'église),,VER,verre,CA,aérien,4.0,SNNECO,Eco-Bois,,,Prestataire,Lely,Bon,SNNECO_Eco-Bois_4_A_k,,,,,5.697676,45.010318
1289,"45.19839,5.83388",Nord-Est,Domène,,2 Rue Angelo Brunato (parking) / Rue Jean Jaurès,,VER,verre,CA,aérien,3.0,Quadria,Linéance,,,Prestataire,Lely,Bon,Quadria_Linéance_3_A_c,,2018-05-29,Nouveau site de collecte,,5.833882,45.198392
1270,"45.18562,5.80617",Nord-Est,Gières,,39 Rue de la Fontaine,,VER,verre,CA,aérien,3.0,Quadria,Linéance,,,Prestataire,Lely,Bon,Quadria_Linéance_3_A_c,,2017-12-11,,,5.806173,45.185618
215,"45.18859,5.77764",Nord-Est,Gières,,4 Rue des Essards / ZI Mayencin 1,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,2011 septembre,5.777643,45.18859
218,"45.18595,5.7888",Nord-Est,Gières,,4 Rue des Sports / Rue du Port (Genin Motoculture),,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Sale,Citec_Cyclea_3_A_c,,,,2014-06-18,5.788801,45.185948
225,"45.1873,5.80755",Nord-Est,Gières,,5-7 Rue des Palettes (côté garages),,VER,verre,CA,aérien,3.0,Plastic Omnium,Citybulle,,,Prestataire,Lely,Bon,Plastic Omnium_Citybulle_3_A_c,,,,,5.807548,45.187302
1269,"45.18394,5.78571",Nord-Est,Gières,,8 Rue du Chamandier,,VER,verre,CA,aérien,3.0,Quadria,Linéance,,,Prestataire,Lely,Bon,Quadria_Linéance_3_A_c,,2017-12-11,,,5.785709,45.183941
707,"45.23819,5.63521",Nord-Ouest,Noyarey,,457 Avenue Saint Jean / Immeuble le St Jean / Centre commercial,,VER,verre,CA,aérien,4.0,Quadria,Linéance,,,Prestataire,Lely,Bon,Quadria_Lineance_4_A_c,,,,2018-10-11,5.635206,45.238191
970,"45.20762,5.76183",Nord-Est,Meylan,,2-4 Rue Le Poulet (Ecole Mi-Plaine / Gymnase des Aiguinards),,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,2009,,,5.761826,45.207616
967,"45.20524,5.75862",Nord-Est,Meylan,,25 Avenue Paine Fleurie (entrée résidence Chinon),,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,2008,,,5.758618,45.205244
985,"45.21146,5.77341",Nord-Est,Meylan,,27 Chemin des Buclos / Avenue de Verdun (parking restaurant le Fil des Jours),,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,2008,,,5.773413,45.211458
1007,"45.22068,5.79735",Nord-Est,Meylan,,Allée de Châteauvieux (côté four à pain),,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,2009-11-25,,,5.797349,45.220684
